category,generic_item,specific_item_type
Furniture,Table,Kitchen Table
Furniture,Table,Dining Room Table
Furniture,Table,Coffee Table
Furniture,Table,End Table
Furniture,Table,Nightstand
Furniture,Bed,King Bed
Furniture,Bed,Queen Bed
Furniture,Bed,Bunk Bed
Furniture,Bed,Day Bed
Furniture,Couch,Sofa
Furniture,Couch,Loveseat
Furniture,Couch,Sectional
Jewelry,Ring,Engagement Ring
Jewelry,Ring,Cocktail Ring
Jewelry,Ring,Wedding Ring
Jewelry,Ring,College Ring
Jewelry,Necklace,Choker
Jewelry,Necklace,Chain
Jewelry,Necklace,Pendant
